NUMMER,AUSGESCHALTET_TXT,BELEUCHTUNGSTYP_TXT,BAUART_TXT,E,N
91,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Unterführungsleuchte,2684840.344,1253407.669
95,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684961.834,1253438.566
96,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684991.144,1253447.196
20,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684720.784,1253948.489
24,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684789.925,1254017.798
27,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684861.785,1254089.148
28,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684886.405,1254113.848
109,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685391.134,1253564.848
112,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung technisch in Ordnung",Stahl gerade,2685485.291,1253600.568
34,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685651.94,1253785.823
25,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685624.942,1253987.823
36,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686006.629,1252396.166
58,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685801.934,1253203.824
64,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung technisch in Ordnung",Stahl gerade,2685810.194,1253015.964
60,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685825.934,1253161.824
69,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685843.964,1253135.568
47,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685728.937,1253472.823
48,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685738.936,1253426.823
5492,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2686080.908,1244823.423
103,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung technisch in Ordnung",Stahl gerade,2686178.878,1251635.736
110,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung technisch in Ordnung",Stahl gerade,2686181.392,1251606.103
23,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686243.132,1252298.906
34,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686035.967,1252389.889
33,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686040.742,1252374.946
5108,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2686651.401,1244911.375
5109,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2686670.628,1244889.359
14,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Beton,2686661.876,1252207.637
15,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Beton,2686698.837,1252223.32
57,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684585.47,1252599.095
54,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684610.979,1252583.835
48,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684663.229,1252553.215
47,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684674.559,1252573.654
