LENGTH,STRASS_ID,RICHTPLANT,STRADATNAM,UNTERHALT,EIGENTUM,STRASSTYP,UREG_TEXT,JAHR,SHAPE.LEN
276.9913975,5015,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,276.991401902554
255.65054789,5014,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,255.650602033537
238.83172271,4888,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,238.831654240392
531.19669071,4915,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,531.196694002684
154.78931511,4925,30,30074,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,154.789262798582
67.550681,4926,30,30074,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,67.5506615114028
288.23794047,239,30,30074,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,288.237898145302
305.78088345,4978,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,305.78091414551403
204.35677737,4965,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,204.35672062043002
162.81795715,4967,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,162.817994231596
25.42517156,4973,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,25.4251850946604
133.95197372,4969,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,133.951974048479
250.52487268,4968,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,250.524933239413
218.96410503,4889,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,218.964146743032
176.51981327,4876,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,176.51983961106902
108.3419319,1975,1, ,unbekannt,unbekannt,Gemeindestrassen,,05_12_2017,108.341899916702
628.60276709,4812,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,628.602757147259
161.25404626,422,23,1.2,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,161.25398109597202
1101.1443935,4600,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,1101.1444167686002
107.24879728,4576,30,30035,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,107.248738301991
96.37360439,4631,30,30032,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,96.37353512546639
164.35098255,1974,1, ,unbekannt,unbekannt,Gemeindestrassen,,05_12_2017,164.351015803823
224.65207556,4706,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,224.652017022644
81.36192799,4624,23,17,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,81.3619483742725
211.89478429,4625,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,211.894760908433
281.01282167,829,12,16042,Werkhof Urdorf,Nationalstrasse,HLS Bund Anschluss,GE VII,05_12_2017,281.01283869081004
66.53108572,1030,12,A1 R BUSS,Werkhof Urdorf,Nationalstrasse,HLS Bund Anschluss,GE VII,05_12_2017,66.5310975857752
1026.20364759,4704,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,1026.20361088387
136.0860464,7018,12,16496,Werkhof Urdorf,Nationalstrasse,HLS Bund Anschluss,GE VII,05_12_2017,136.08611570555902
98.20193232,1414,12,16148,Werkhof Urdorf,Nationalstrasse,HLS Bund Anschluss,GE VII,05_12_2017,98.2018649035969
55.89897608,7029,23,4.1,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,55.89902298281739
600.79492186,696,10,10331,Werkhof Urdorf,Nationalstrasse,Hochleistungsstrassen (HLS) Bund richtungsgetrennt,GE VII,05_12_2017,600.794880883555
289.9005798,401,23,4,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,289.900564146159
208.08685831,4989,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,208.086838121222
204.64467342,497,23,4,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,204.644647016603
