"ObjectID","Datum","Standort","Velo_in","Velo_out","Fuss_in","Fuss_out"
399,2009-12-06T04:00:00,"ECO09022739",0,0,,
400,2009-12-06T04:15:00,"ECO09022739",0,2,,
401,2009-12-06T04:30:00,"ECO09022739",0,0,,
402,2009-12-06T04:45:00,"ECO09022739",0,0,,
403,2009-12-06T05:00:00,"ECO09022739",0,0,,
404,2009-12-06T05:15:00,"ECO09022739",0,0,,
405,2009-12-06T05:30:00,"ECO09022739",0,0,,
406,2009-12-06T05:45:00,"ECO09022739",0,0,,
407,2009-12-06T06:00:00,"ECO09022739",0,0,,
408,2009-12-06T06:15:00,"ECO09022739",0,0,,
409,2009-12-06T06:30:00,"ECO09022739",1,0,,
410,2009-12-06T06:45:00,"ECO09022739",0,1,,
411,2009-12-06T07:00:00,"ECO09022739",0,0,,
412,2009-12-06T07:15:00,"ECO09022739",0,0,,
413,2009-12-06T07:30:00,"ECO09022739",1,0,,
414,2009-12-06T07:45:00,"ECO09022739",2,0,,
415,2009-12-06T08:00:00,"ECO09022739",1,0,,
416,2009-12-06T08:15:00,"ECO09022739",0,0,,
417,2009-12-06T08:30:00,"ECO09022739",1,0,,
418,2009-12-06T08:45:00,"ECO09022739",0,0,,
419,2009-12-06T09:00:00,"ECO09022739",2,0,,
420,2009-12-06T09:15:00,"ECO09022739",2,0,,
421,2009-12-06T09:30:00,"ECO09022739",3,1,,
422,2009-12-06T09:45:00,"ECO09022739",1,0,,
423,2009-12-06T10:00:00,"ECO09022739",1,1,,
424,2009-12-06T10:15:00,"ECO09022739",4,0,,
425,2009-12-06T10:30:00,"ECO09022739",5,1,,
426,2009-12-06T10:45:00,"ECO09022739",4,1,,
427,2009-12-06T11:00:00,"ECO09022739",1,3,,
428,2009-12-06T11:15:00,"ECO09022739",0,1,,
429,2009-12-06T11:30:00,"ECO09022739",5,1,,
430,2009-12-06T11:45:00,"ECO09022739",1,2,,
431,2009-12-06T12:00:00,"ECO09022739",1,0,,
432,2009-12-06T12:15:00,"ECO09022739",3,4,,
433,2009-12-06T12:30:00,"ECO09022739",1,1,,
434,2009-12-06T12:45:00,"ECO09022739",3,3,,
435,2009-12-06T13:00:00,"ECO09022739",0,0,,
436,2009-12-06T13:15:00,"ECO09022739",8,0,,
437,2009-12-06T13:30:00,"ECO09022739",0,1,,
438,2009-12-06T13:45:00,"ECO09022739",2,0,,
439,2009-12-06T14:00:00,"ECO09022739",8,1,,
440,2009-12-06T14:15:00,"ECO09022739",2,3,,
441,2009-12-06T14:30:00,"ECO09022739",6,1,,
442,2009-12-06T14:45:00,"ECO09022739",5,1,,
443,2009-12-06T15:00:00,"ECO09022739",9,0,,
444,2009-12-06T15:15:00,"ECO09022739",2,2,,
445,2009-12-06T15:30:00,"ECO09022739",3,1,,
446,2009-12-06T15:45:00,"ECO09022739",0,4,,
447,2009-12-06T16:00:00,"ECO09022739",8,0,,
448,2009-12-06T16:15:00,"ECO09022739",2,5,,
449,2009-12-06T16:30:00,"ECO09022739",2,3,,
450,2009-12-06T16:45:00,"ECO09022739",3,2,,
451,2009-12-06T17:00:00,"ECO09022739",5,3,,
452,2009-12-06T17:15:00,"ECO09022739",3,0,,
453,2009-12-06T17:30:00,"ECO09022739",3,3,,
454,2009-12-06T17:45:00,"ECO09022739",3,4,,
455,2009-12-06T18:00:00,"ECO09022739",0,6,,
456,2009-12-06T18:15:00,"ECO09022739",2,2,,
457,2009-12-06T18:30:00,"ECO09022739",3,1,,
458,2009-12-06T18:45:00,"ECO09022739",1,5,,
459,2009-12-06T19:00:00,"ECO09022739",4,1,,
460,2009-12-06T19:15:00,"ECO09022739",3,7,,
461,2009-12-06T19:30:00,"ECO09022739",2,0,,
462,2009-12-06T19:45:00,"ECO09022739",2,2,,
463,2009-12-06T20:00:00,"ECO09022739",1,1,,
464,2009-12-06T20:15:00,"ECO09022739",0,1,,
465,2009-12-06T20:30:00,"ECO09022739",0,2,,
466,2009-12-06T20:45:00,"ECO09022739",2,6,,
467,2009-12-06T21:00:00,"ECO09022739",0,1,,
468,2009-12-06T21:15:00,"ECO09022739",0,1,,
469,2009-12-06T21:30:00,"ECO09022739",0,0,,
470,2009-12-06T21:45:00,"ECO09022739",1,2,,
471,2009-12-06T22:00:00,"ECO09022739",0,1,,
472,2009-12-06T22:15:00,"ECO09022739",0,1,,
473,2009-12-06T22:30:00,"ECO09022739",2,0,,
474,2009-12-06T22:45:00,"ECO09022739",1,1,,
475,2009-12-06T23:00:00,"ECO09022739",1,2,,
