VOLUMEN,ANZAHL_GEBAEUDE,BAUJAHR,QUALITAET,SHAPE.AREA,SHAPE.LEN
12567,5,2001,0.83472587,9999.9,399.99800000000005
35292,6,1980,0.25983226,10000.050000000001,400.001000025
13240,4,1960,1,9999.900001,399.99800002
28782,10,1960,0.50507261,9999.900001,399.99800002
13805,3,1960,1,10000.000001,400.00000002
18452,7,1960,0.7236072,9999.900001,399.99800003
14430,6,1960,1,9999.9500005,399.99900001500004
26797,14,1960,0.71015412,10000,400.00000001
13465,9,1960,1,9999.9500005,399.99900001500004
37501,8,1980,0.67838191,9999.9,399.99800001
48715,4,1990,0.7246228100000001,10000,400.00000001
60725,6,2001,0.72441334,10000.0500005,400.001000015
246754,14,1990,0.97327703,10000,400.00000001
206440,4,1990,0.50426274,9999.9,399.99800001
31410,10,1960,0.63228271,10000.000001,400.00000002
47350,7,1980,0.40063358,10000.000001,400.00000002
58370,6,1960,0.6751756,9999.95,399.99900001500004
10151,5,1960,0.5315732400000001,10000,400.00000001
42129,7,2001,0.73725937,9999.9500005,399.99900001500004
55507,3,1990,0.52420415,10000.0000005,400.00000003
25620,4,2001,0.88095238,10000,400.00000001
17973,17,1960,0.67061704,9999.9500005,399.99900001500004
84886,15,1960,0.88667154,9999.9500005,399.99900001500004
54766,8,1960,0.61079867,9999.9500015,399.999000035
73490,15,1960,0.50121105,9999.95,399.99900001500004
37562,7,1960,0.79646984,10000.100001,400.00200002
58420,4,2000,1,9999.9500015,399.999000035
19328,11,1960,0.5787976,9999.9,399.99800001
42410,3,1980,1,9999.9500005,399.99900001500004
14714,8,1960,1,9999.9500015,399.999000035
22108,7,1980,0.83567035,10000.050000000001,400.001000005
11616,10,1960,0.84375,10000,400.00000001
76857,20,1920,0.67758304,9999.9500005,399.99900001500004
50180,15,1960,0.49621363,10000.000001,400.00000002
47136,7,2000,0.79281229,9999.95,399.999000025
35329,5,1990,0.68697104,9999.9,399.99800001
23985,18,1960,0.70564936,9999.900001,399.99800002
17920,11,1920,0.60267857,9999.9,399.99800001
68136,15,1960,0.52037102,9999.9500005,399.99900001500004
68390,23,1920,0.6598918,10000.000001,400.00000002
66904,19,1920,0.8135388,9999.9500005,399.99900001500004
67370,9,1960,0.93825145,10000.000001,400.00000002
74870,8,1990,0.66728997,10000.100001,400.00200002
14329,12,1960,1,10000,400.00000001
8317,5,1980,0.86329205,9999.9500005,399.99900001500004
11870,4,1960,0.45071609,9999.900001,399.99800003
51452,16,1960,0.5975861,9999.9500005,399.99900001500004
87810,8,1960,1,9999.95,399.99900001500004
16717,11,1960,0.74499013,9999.95,399.99900001500004
33462,4,1960,1,9999.95,399.999000005
193789,8,1990,0.88343508,10000.000001,400.00000002
54835,9,1920,0.51709674,10000,400.00000001
56385,5,1960,0.35417221,10000.000001,400.00000002
16577,5,1920,1,10000,400.00000001
26639,19,1960,0.7861781600000001,10000.0500005,400.001000015
60972,9,1990,0.60232566,9999.9500005,399.99900001500004
65897,25,1920,0.8000516,10000,400.00000001
9764,3,1980,0.62576813,10000.0500005,400.001000015
73150,8,1980,0.73738893,10000.0500005,400.001000015
37730,12,1960,0.87977737,9999.9500005,399.99900001500004
9926,3,1920,0.51984687,10000.0500005,400.001000015
46505,12,1960,1,9999.9500005,399.99900001500004
71981,13,1960,0.63112488,9999.850001,399.997000015
91517,15,1960,0.38541473,10000,400.00000002
39404,6,1920,0.9043244300000001,10000.0500005,400.001000015
45440,19,1920,0.5501540500000001,9999.95,399.99900001500004
8765,6,1960,0.89617798,9999.9500005,399.99900001500004
25875,16,1960,0.7432657,10000,400.00000001
14468,11,2001,0.59351673,10000,400.00000001
